Geo Point;Geo Shape;code_insee;commune;pole;existant;hierarchisation;type_reseau;type_amenagement;longueur_m;annee_creation;annee_refection;num_rev
43.64728612336928, 1.5338481951254241;"{""coordinates"": [[[1.534611243942489, 43.648933762236226], [1.534732414828828, 43.64883876476186], [1.534796031140165, 43.648765723306205], [1.53484166118525, 43.64868640104927], [1.534868420235666, 43.64862937544414], [1.534887022136208, 43.64855995515302], [1.534891754009553, 43.64848011488582], [1.534881621401792, 43.64837345295532], [1.534867769178441, 43.64828797429307], [1.534830582017183, 43.64814949499677], [1.534788668307941, 43.648014772673], [1.534722173106367, 43.647846960769414], [1.534652692669171, 43.647685255783855], [1.534567561198743, 43.6475294990616], [1.534504663942517, 43.647446753159755], [1.534391238498595, 43.64735312274252], [1.534267357918252, 43.647283946084954], [1.534059559283855, 43.64718399735257], [1.533757904716294, 43.647057251443364], [1.533331609468123, 43.646893071176535], [1.533084526727875, 43.64678442890066], [1.532941961941859, 43.646685562772696], [1.532816539605729, 43.64656309809414], [1.532711524772839, 43.6464132324616], [1.532608957837904, 43.646220377024186], [1.5326150026144, 43.64619171739289], [1.532522695742095, 43.64599494648903], [1.532489123787797, 43.64596308366064], [1.532385637927149, 43.64576829348043]]], ""type"": ""MultiLineString""}";31389;Montrabé;Est;oui;2;RC;voie verte;442;0;0;
43.59588677793895, 1.5383468465156378;"{""coordinates"": [[[1.536639342886445, 43.59534230384142], [1.53761307531851, 43.595441686847245], [1.539122408045198, 43.595884226637175], [1.539281182059693, 43.59665949278525], [1.53929417426107, 43.59717516373529]]], ""type"": ""MultiLineString""}";31184;Flourens;Est;oui;5;IC;itineraire conseille;355;0;0;
43.5738749402096, 1.6070182526522543;"{""coordinates"": [[[1.607740596825336, 43.574736980820624], [1.607564716980325, 43.574521688941246], [1.607395572937549, 43.57433631283357], [1.607223494781372, 43.57414173510727], [1.607115711366858, 43.57403043323156], [1.607032608149805, 43.57394234464792], [1.606852277249401, 43.573694957486126], [1.606703410623277, 43.57345023959116], [1.606611857313932, 43.573318507209166], [1.606501076863549, 43.57320029271609], [1.606367676204401, 43.57310701485733], [1.606274555606492, 43.573044016240424]]], ""type"": ""MultiLineString""}";31163;Drémil-Lafage;Est;oui;4;RV;reseau vert;224;0;0;
43.57924679416386, 1.5959747450024075;"{""coordinates"": [[[1.596612629737427, 43.58069591123857], [1.596513369815073, 43.58055728984868], [1.596554243641268, 43.58042486794796], [1.596619492192075, 43.580329407773654], [1.596672441604881, 43.58022004832707], [1.596668655194742, 43.580109999819896], [1.596539346660761, 43.5799755091409], [1.595012600061459, 43.57782565421404]]], ""type"": ""MultiLineString""}";31163;Drémil-Lafage;Est;oui;5;IC;itineraire conseille;356;0;0;
43.60078076510695, 1.601131089722308;"{""coordinates"": [[[1.60153123477698, 43.598198478051536], [1.60157555846372, 43.59827400337345], [1.601567773530152, 43.598338075947666], [1.601414782497879, 43.598409559316536], [1.601312950854435, 43.598449578192316], [1.601210396539808, 43.59852167161482], [1.601126016380621, 43.598626068282435], [1.601059495299279, 43.5987765159812], [1.601065180792752, 43.598804086117845], [1.601083565210411, 43.59882722609359], [1.601222271564505, 43.59882890475238], [1.601902277502293, 43.59887838122276], [1.60211559733851, 43.598926796220034], [1.602076401965624, 43.598985906876614], [1.601953246790426, 43.599131086236206], [1.601854896411449, 43.599294899118], [1.601846494340088, 43.59938646553556], [1.601830622257989, 43.59952835856552], [1.601851859671742, 43.59970278383389], [1.601906199918668, 43.59980886071287], [1.601973134529766, 43.599915088088245], [1.60210239232914, 43.600054154316574], [1.602188774396093, 43.60013769928724], [1.602319711718042, 43.60020345115082], [1.602394431848034, 43.60024560388767], [1.602514336443503, 43.600242471568045], [1.602703799460374, 43.600231010503975], [1.602856596171821, 43.60016869079065], [1.603014437601604, 43.60016143084893], [1.603127711793664, 43.60017196751083], [1.603259291641108, 43.600210224762264], [1.603345046492944, 43.600321262560826], [1.603399482381727, 43.600422754182155], [1.603018655584961, 43.60052815380981], [1.602530016642293, 43.600659750098394], [1.602218640995189, 43.60076140290709], [1.601932909840765, 43.60084503326182], [1.601464225899898, 43.6009310315425], [1.601027489912892, 43.6009990810013], [1.600666300845961, 43.6010726254668], [1.600571200205286, 43.601094391592945], [1.600282733580996, 43.601297152307986], [1.600115643369943, 43.6014326299676], [1.600037573081977, 43.60153710402028], [1.600003101169394, 43.60166502172667], [1.599949298399553, 43.60181103888443], [1.599833381839787, 43.60191505259225], [1.599741643891568, 43.60199644343262], [1.599673231558568, 43.60209186472821], [1.599591831697394, 43.60220317211332], [1.599503392171986, 43.60234647749715], [1.599422161716831, 43.60245091283886], [1.599324430051735, 43.60258722971964], [1.599233001454316, 43.60272362469803], [1.599135794666375, 43.60283703213122], [1.599015572402746, 43.602991409780905], [1.598872479555995, 43.60317988715719], [1.598462599194644, 43.603735426090076], [1.598336766473291, 43.60391225635249], [1.598306277373204, 43.60399760605261], [1.598263541617065, 43.60403580209078]]], ""type"": ""MultiLineString""}";31163;Drémil-Lafage;Est;oui;5;IC;itineraire conseille;1060;0;0;
43.60731831196076, 1.5661412356935525;"{""coordinates"": [[[1.558694371379106, 43.60988224226234], [1.559413964918427, 43.60934134091443], [1.562411891794689, 43.60792120414049], [1.56318689144536, 43.60757719123453], [1.56513672883808, 43.606819097232545], [1.566089384162229, 43.60644512174867], [1.567131749744105, 43.60601866636636], [1.568305521447278, 43.60564741159505], [1.569909062014637, 43.60553211363681], [1.570124447968142, 43.60555998751627], [1.570178280062541, 43.605617946363154], [1.57024579533954, 43.605697845108224], [1.570845548971355, 43.60654975577797], [1.571760836709245, 43.607868488975505], [1.572062418199735, 43.60833015818363], [1.572073409534656, 43.60849104249558], [1.572046339387599, 43.60860650742418], [1.571772637352948, 43.60925168010697], [1.571699481429382, 43.609343749869836]]], ""type"": ""MultiLineString""}";31355;Mons;Est;oui;5;IC;itineraire conseille;1521;0;0;
43.650821994545915, 1.4729075832672185;"{""coordinates"": [[[1.472047755410545, 43.64961861252001], [1.472176787965951, 43.649838872571756], [1.472321681538048, 43.6497798163842], [1.472418769214484, 43.64993810843015], [1.472625051059986, 43.65033321390591], [1.472737635054131, 43.6505638893813], [1.472809351535409, 43.65072001863502], [1.472841323020023, 43.6507562512056], [1.472975728569511, 43.65103496359422], [1.472981400957637, 43.65107084897092], [1.473101883126567, 43.65124910618233], [1.473168872353986, 43.65133116259696], [1.473274355202035, 43.6514519248435], [1.473363669477904, 43.65155197035491], [1.473487657010894, 43.65170468029613], [1.473609318536922, 43.651831462060485], [1.473739484472311, 43.65194540541552], [1.473846003339721, 43.6520833172112]]], ""type"": ""MultiLineString""}";31561;L'Union;Nord;oui;3;RC;voie verte;326;0;0;
43.62157697981021, 1.3429307427565471;"{""coordinates"": [[[1.341869093619302, 43.62276265385229], [1.341999792524708, 43.622735417558], [1.342008268478844, 43.622695753457585], [1.342062246977336, 43.62266027438836], [1.343023361314198, 43.622506918296814], [1.342625972493624, 43.62165569024619], [1.342489106341378, 43.621349830917445], [1.34245786353126, 43.62127008000663], [1.342448798167026, 43.62118957931666], [1.342473567450055, 43.621109374609695], [1.342511041036793, 43.62104915031686], [1.342555938430565, 43.62101169892994], [1.342617758324007, 43.62097534173443], [1.342708090444775, 43.620946804047705], [1.342934319532971, 43.62089201994168], [1.343252036308739, 43.6208172230142], [1.34341295107959, 43.620773219746134], [1.343955607228744, 43.620641731836734], [1.344169076140547, 43.62057074893293], [1.344353001369508, 43.620464628959034]]], ""type"": ""MultiLineString""}";31149;Colomiers;Ouest;oui;5;IC;itineraire conseille;435;0;0;
43.61699128649276, 1.3409505053636273;"{""coordinates"": [[[1.341194711473702, 43.61791956739941], [1.341202078863925, 43.617868256136056], [1.341237337731724, 43.617790558947135], [1.3412765672366, 43.61773955715515], [1.341297828906107, 43.61765391877044], [1.341318564438643, 43.61758717991584], [1.341292054993157, 43.617518045585754], [1.341226957722096, 43.617475858517956], [1.341059467028117, 43.61745798546927], [1.340958941878136, 43.61741357042175], [1.340898797733002, 43.617362860433886], [1.340918114397529, 43.61726172426424], [1.340927734190464, 43.61716904454559], [1.34086249740401, 43.6171320118988], [1.340749116150925, 43.61712522814375], [1.34070591923116, 43.61706100900949], [1.340749336443347, 43.61694303112571], [1.340920563829445, 43.616388574465134], [1.340951743343317, 43.61628588900897], [1.340912798778866, 43.61623892216159], [1.340813770568895, 43.61613952481262], [1.340740333224851, 43.616055964578266], [1.340658817728825, 43.616008384865864]]], ""type"": ""MultiLineString""}";31149;Colomiers;Ouest;oui;5;IC;itineraire conseille;257;0;0;
43.55547304418698, 1.519794284300759;"{""coordinates"": [[[1.519122624642915, 43.55511032356917], [1.519435464245161, 43.55512130563036], [1.519601109947464, 43.55520707879024], [1.520166125143418, 43.55582077386424], [1.520277050230327, 43.55589525992153], [1.520296498657727, 43.555975919906885], [1.520234638057075, 43.55603493722745]]], ""type"": ""MultiLineString""}";31506;Saint-Orens de Gameville;Est;oui;1 V;RC;reseau vert;153;0;0;REV 3 V
43.56079894252967, 1.3502443101034949;"{""coordinates"": [[[1.348592959204891, 43.56081049665193], [1.349259099648268, 43.56081063408002], [1.350054112909953, 43.5608062130871], [1.350253936089064, 43.560839177596336], [1.350514592856708, 43.56081211997984], [1.351894788947318, 43.56074655515259]]], ""type"": ""MultiLineString""}";31557;Tournefeuille;Sud;oui;2;RC;piste cyclable;267;0;0;
43.599530837749654, 1.3642534030615359;"{""coordinates"": [[[1.363206608613825, 43.5979514856936], [1.36358115270549, 43.59830999456239], [1.363745328090921, 43.59854131625796], [1.363795667740363, 43.59864771679822], [1.365172372188123, 43.60120550222562]]], ""type"": ""MultiLineString""}";31555;Toulouse;Ouest;oui;1;RC;voie verte;397;2017;0;REV 12
43.71655907167725, 1.408219956345364;"{""coordinates"": [[[1.406433516895395, 43.71679197698491], [1.406809797027248, 43.716900900720205], [1.407243254916744, 43.71684091572516], [1.407658290099705, 43.71661580524923], [1.408024874062615, 43.71650543705063], [1.408344706594912, 43.71644388599025], [1.408641821677583, 43.71638202189508], [1.409233898478885, 43.71634069532775], [1.409437968987393, 43.71635998457804], [1.409823393529462, 43.71639825188097], [1.410035540831517, 43.716471407534215]]], ""type"": ""MultiLineString""}";31091;Bruguières;Nord;non;2;RC;voie verte;308;0;0;
43.56175291201707, 1.462434246829694;"{""coordinates"": [[[1.461780075258357, 43.562669383227174], [1.463088418401031, 43.56083644080697]]], ""type"": ""MultiLineString""}";31555;Toulouse;Est;oui;1;RC;piste cyclable;229;2013;0;REV 1 Sud
43.66748111632915, 1.4402341249358368;"{""coordinates"": [[[1.439942694900842, 43.668702295137415], [1.44005901200344, 43.66829010311016], [1.440212427884059, 43.66777530042747], [1.440283748345113, 43.667517828169075], [1.440343669858893, 43.66728369421309], [1.440350878501266, 43.667001863933976], [1.440378456082321, 43.666767293975795], [1.440404832028821, 43.66657969721427], [1.440279184908318, 43.666258270729394]]], ""type"": ""MultiLineString""}";31282;Launaguet;Nord;non;1;RC;;277;0;0;REV 7 Nord
43.68248627913942, 1.4279659043518755;"{""coordinates"": [[[1.426402323067153, 43.68223491695776], [1.426639189659134, 43.68225575777392], [1.426931186897585, 43.682285015396126], [1.427212788911082, 43.682330648115425], [1.427461333924103, 43.68233877649861], [1.427659824549868, 43.68235857530103], [1.427937558088322, 43.68240225244483], [1.428306951608862, 43.68244527414949], [1.428446678001024, 43.68245952410607], [1.428510014522316, 43.682490787807474], [1.428602593532398, 43.68260701077444], [1.428872028938063, 43.68270897872162], [1.429283004602007, 43.68288293033371], [1.429320649923736, 43.68293884920665], [1.429321565669895, 43.6830053710572], [1.429292484070206, 43.68306673452196]]], ""type"": ""MultiLineString""}";31467;Saint-Alban;Nord;oui;3;RC;voie verte;272;0;0;
43.635886673087256, 1.5421612574322592;"{""coordinates"": [[[1.544177841933655, 43.63542739614175], [1.543783949456059, 43.6355618269419], [1.542912257345104, 43.635774272059614], [1.542162634590777, 43.6359166092372], [1.541519205928412, 43.63600859818356], [1.540651002138405, 43.63615387723191], [1.540122687556854, 43.6362526725269]]], ""type"": ""MultiLineString""}";31389;Montrabé;Est;oui;4;RV;reseau vert;340;0;0;
43.64174439419262, 1.5371090923758859;"{""coordinates"": [[[1.535542702801953, 43.64159027563859], [1.535610252781575, 43.64160345286921], [1.536020820463689, 43.64182821542383], [1.536081917087227, 43.64183810776603], [1.536123724641353, 43.64182894347851], [1.536575495837841, 43.64146220402884], [1.53661081709743, 43.64145109948059], [1.536762335364339, 43.64142189446746], [1.536807026142705, 43.641428941289995], [1.53806192684303, 43.642049469122576], [1.538714454340984, 43.64187756572934], [1.538730124990536, 43.641898162331096]]], ""type"": ""MultiLineString""}";31389;Montrabé;Est;oui;3;RC;voie verte;310;0;0;
43.56329049627497, 1.425703887739625;"{""coordinates"": [[[1.425876712687301, 43.56309951877623], [1.425778453368383, 43.56323494235877], [1.425682190205268, 43.563319318191745], [1.425580740152115, 43.563402708594786], [1.425510556461161, 43.56346229931318]]], ""type"": ""MultiLineString""}";31555;Toulouse;Sud;oui;2;RC;piste cyclable;50;2010;0;
43.65532824908076, 1.5101014560599362;"{""coordinates"": [[[1.508807480300645, 43.65654668018303], [1.509048329480939, 43.65634419899851], [1.509401371664099, 43.65601849345443], [1.509791964716196, 43.655705502510436], [1.50996975203487, 43.6554906827119], [1.510108415490105, 43.65532734025846], [1.510234385807921, 43.65516689308877], [1.510334423349494, 43.65503363294651], [1.510628287481198, 43.654890636115795], [1.510778657280491, 43.65476413952916], [1.511014803851695, 43.65445612211014], [1.510963092123522, 43.654350928318415], [1.510989158607133, 43.6542501635506], [1.511110738125412, 43.654200321152075], [1.51129320246915, 43.6541780288082]]], ""type"": ""MultiLineString""}";31488;Saint-Jean;Nord;non;2 V;RC;;345;0;0;
43.70571350402132, 1.3663634761433774;"{""coordinates"": [[[1.368146893002068, 43.7023953217813], [1.368122117085666, 43.70248182914048], [1.368046113036587, 43.702637123814405], [1.367825538114752, 43.70293504363025], [1.367782036372782, 43.703073458112776], [1.367745591310958, 43.703182823028406], [1.367690304312534, 43.70329517028378], [1.367621272804407, 43.70344486998467], [1.367575335135089, 43.70351761881635], [1.367552084381769, 43.70361940621299], [1.367542864466391, 43.70372873179194], [1.367569776967207, 43.7037913450192], [1.367615661193764, 43.70387346514277], [1.367649382104537, 43.704037220062446], [1.36759504321364, 43.70415027018072], [1.367402238752512, 43.704450706949565], [1.367204227409366, 43.70478191858475], [1.367022422456216, 43.705001445315865], [1.366804582543296, 43.70519866204974], [1.366688537090565, 43.705390638329035], [1.366523276783642, 43.70557009496342], [1.366433138210735, 43.70576029033941], [1.366290820067551, 43.70603697319477], [1.366095108096646, 43.70649721271121], [1.365839448235584, 43.70684806137298], [1.365723132321861, 43.70719425064361], [1.365635381329212, 43.70734937782341], [1.365597197446605, 43.70740627804742], [1.365388456538638, 43.70758947995734], [1.365239951078095, 43.70768061342265], [1.364991480576406, 43.70776639408374], [1.364777187923761, 43.70784560818915], [1.364700893173199, 43.7079126734862], [1.364406625820951, 43.708060074073046], [1.364207622723853, 43.7082334910562], [1.364108499323478, 43.70841125710561], [1.364032992680271, 43.708509464369136], [1.36409342234572, 43.70852909481803], [1.364074898420062, 43.70857702347388]]], ""type"": ""MultiLineString""}";31205;Gagnac-sur-Garonne;Nord;oui;3;RC;voie verte;797;2021;0;
43.6412679109764, 1.4480339994646831;"{""coordinates"": [[[1.448106118193831, 43.641465351407476], [1.448012320634986, 43.64121726824599], [1.447969561507064, 43.641067923818525]]], ""type"": ""MultiLineString""}";31555;Toulouse;Nord;oui;3;RC;voie verte;46;0;0;
43.604660418808514, 1.3068733426827759;"{""coordinates"": [[[1.306510803190775, 43.60518840287971], [1.306782759659565, 43.60507201807406], [1.306827583690243, 43.60494514158764], [1.306831743982758, 43.604795162877394], [1.307000393143344, 43.60467009821365], [1.307058859867463, 43.604423389355645], [1.306950122220054, 43.60424925049024], [1.306852517120098, 43.604010102704414]]], ""type"": ""MultiLineString""}";31149;Colomiers;Ouest;non;2;RC;piste cyclable;153;0;0;
43.70144137755295, 1.4074989305300345;"{""coordinates"": [[[1.407867338257187, 43.700789698353034], [1.407853019912128, 43.70083004689619], [1.407828761600725, 43.70085238958659], [1.407774290912546, 43.700870883392646], [1.40771475611504, 43.70088801302735], [1.407701248226395, 43.70091111027871], [1.407677699114338, 43.700942398171755], [1.407646539207374, 43.70101137758669], [1.407554331002387, 43.7012774302178], [1.407405747619375, 43.70163479334629], [1.407274002339423, 43.70200063380456], [1.407250273236329, 43.70211094670224], [1.407226840196617, 43.70217384784331]]], ""type"": ""MultiLineString""}";31467;Saint-Alban;Nord;oui;2;RC;voie verte;166;2016;0;
43.64031993276346, 1.4223757106513355;"{""coordinates"": [[[1.421738212838178, 43.63539769189349], [1.421712802148484, 43.63549788631161], [1.42178583549819, 43.63600276271713], [1.421854113982117, 43.63647827164001], [1.421921019198426, 43.63695755525009], [1.422008058004369, 43.6375685107507], [1.422087440515875, 43.63825509776133], [1.422259797320147, 43.63942022837591], [1.422294459481555, 43.63970907831097], [1.422376623956078, 43.64021402936369], [1.422440486344728, 43.64072261600189], [1.422495349597873, 43.64122356286381], [1.422589857135808, 43.64185917864907], [1.422599876753623, 43.642055107409156], [1.422739443745462, 43.64306575589602], [1.422799136785498, 43.643507133391246], [1.422819750416553, 43.643692740423525], [1.422866876385579, 43.643848286690385], [1.422910021288083, 43.64434913772839], [1.422942008784912, 43.64455754402592], [1.422988647363982, 43.64492761812577], [1.423008594677504, 43.645034026680214], [1.423099955061058, 43.64512286053524], [1.423153570184339, 43.64518954015346]]], ""type"": ""MultiLineString""}";31555;Toulouse;Nord;oui;3;RC;voie verte;1098;2010;0;
43.62245961395398, 1.478080469326687;"{""coordinates"": [[[1.478028621638127, 43.62327609090208], [1.478020910071072, 43.622128031481566], [1.478381520673226, 43.62174011131063]]], ""type"": ""MultiLineString""}";31555;Toulouse;Est;oui;3;RC;voie verte;180;2016;0;
43.58892127708994, 1.4128307102124102;"{""coordinates"": [[[1.410482042876761, 43.587988734582176], [1.41300438876617, 43.58900874941205], [1.415192835293753, 43.58981906596388]]], ""type"": ""MultiLineString""}";31555;Toulouse;Sud;oui;1;RC;bande cyclable;431;2020;0;REV 5 Sud
43.547595714391065, 1.3237019823806884;"{""coordinates"": [[[1.331875258117152, 43.54178498227526], [1.331781192261545, 43.54200015630379], [1.330108579832691, 43.542894236240095], [1.329559160008847, 43.54323113738436], [1.328838055910615, 43.5437981219845], [1.328142615647807, 43.54426709679184], [1.327334094562855, 43.544770789997905], [1.326820553759791, 43.54500394230192], [1.325377153301073, 43.546177954618535], [1.325034864704331, 43.546598034905195], [1.324643319394511, 43.54697626951696], [1.323390815013651, 43.547849310922764], [1.322081069206308, 43.54856810183305], [1.321473804024546, 43.54900036084818], [1.320566305473762, 43.54992547253393], [1.320121684099577, 43.550456325726465], [1.319834352124676, 43.550680708292894], [1.319211499861599, 43.55107664034858], [1.31891247558144, 43.55132490771268], [1.315581824016798, 43.55354996473255]]], ""type"": ""MultiLineString""}";31157;Cugnaux;Sud;non;1;RC;;1868;0;0;REV 4
43.57435326955118, 1.4018331524840821;"{""coordinates"": [[[1.400682963790173, 43.57436207484016], [1.402983341177991, 43.57434446426221]]], ""type"": ""MultiLineString""}";31555;Toulouse;Sud;oui;2;RC;bande cyclable;185;2010;0;
43.67943176067585, 1.363401486902814;"{""coordinates"": [[[1.363933174790711, 43.678326416730705], [1.362869799014917, 43.68053710462099]]], ""type"": ""MultiLineString""}";31541;Seilh;Ouest;non;1;RC;piste cyclable;260;0;0;REV 1 Nord
43.62502039986754, 1.2497550578291814;"{""coordinates"": [[[1.248556008286067, 43.62279161458441], [1.248641425195212, 43.62288291920214], [1.248860530474354, 43.62342866292343], [1.249170277664697, 43.62388340192695], [1.249529998328187, 43.62450055785748], [1.249913997579458, 43.62512400005117], [1.250246578695391, 43.6256927761708], [1.25047269914573, 43.626335737622206], [1.250573271045534, 43.62692232022298], [1.250546921636633, 43.627158789349856], [1.250606078991769, 43.62737049472175]]], ""type"": ""MultiLineString""}";31417;Pibrac;Ouest;oui;5;IC;itineraire conseille;541;0;0;
43.63609225338763, 1.2420133566442235;"{""coordinates"": [[[1.24202232266005, 43.63578765710776], [1.242034979658239, 43.63585772464227], [1.242039106894702, 43.63599753945346], [1.242007806743839, 43.636178265838154], [1.241962394033256, 43.636394914399084]]], ""type"": ""MultiLineString""}";31417;Pibrac;Ouest;oui;4;RV;reseau vert;68;0;0;
43.604193460129196, 1.316101492660678;"{""coordinates"": [[[1.316105548261275, 43.604551156601445], [1.316115453920646, 43.60448084465905], [1.316120789697945, 43.60439206300228], [1.31610847033648, 43.604366645615364], [1.316087295956649, 43.604347410060704], [1.316062491090809, 43.604328645565055], [1.316042180031007, 43.604304163251804], [1.316032572143365, 43.60428509438774], [1.316027223955658, 43.60426924209506], [1.316033071877719, 43.60424093484782], [1.31604645640139, 43.60420169478926], [1.316053900301128, 43.60416762751211], [1.316060009222615, 43.60412985871719], [1.316071270054454, 43.60408901045876], [1.316081365237606, 43.604063919597586], [1.316094126173104, 43.604047281412406], [1.316203939896308, 43.603948453347314], [1.316115950007006, 43.6038907323886]]], ""type"": ""MultiLineString""}";31149;Colomiers;Ouest;oui;3;RC;piste cyclable;83;2016;0;
43.58468295625182, 1.4614436747536739;"{""coordinates"": [[[1.462839970805299, 43.5818432211969], [1.462773331296769, 43.58195056493184], [1.461976434108763, 43.58331061305067], [1.461196636897179, 43.585100330796145], [1.460460314546812, 43.58705604233421], [1.460321347672497, 43.587641363320174]]], ""type"": ""MultiLineString""}";31555;Toulouse;Est;oui;1;RC;voie verte;678;2022;2019;REV 2 Sud
43.65824579447283, 1.3600067796029205;"{""coordinates"": [[[1.361297450046526, 43.657902873180994], [1.361235884220997, 43.65792557648334], [1.361083333052453, 43.65805017213747], [1.360558674389225, 43.65844080608541], [1.360136251625534, 43.65866284881041], [1.359940097645911, 43.65857448677002], [1.35939052430435, 43.65801717045059], [1.358641320175076, 43.6579615017505]]], ""type"": ""MultiLineString""}";31069;Blagnac;Ouest;oui;2;RC;voie verte;282;0;0;
43.65635252288153, 1.3594661832382784;"{""coordinates"": [[[1.360791077369721, 43.655117149373154], [1.360599227917548, 43.65511443092181], [1.360511001202657, 43.65515118679197], [1.360326452511726, 43.655309036452174], [1.359888768308537, 43.65579689759328], [1.359147284686155, 43.65655070828146], [1.358817978084589, 43.656900749688035], [1.358773310918024, 43.65704791300257], [1.358678056004558, 43.65756174261237], [1.358652891437299, 43.65784853343697], [1.358644010889672, 43.65796242215287]]], ""type"": ""MultiLineString""}";31069;Blagnac;Ouest;oui;2;RC;voie verte;380;0;0;
43.64965384537142, 1.5053329064061713;"{""coordinates"": [[[1.50541589809432, 43.64973135791678], [1.505249914718023, 43.64957633282606]]], ""type"": ""MultiLineString""}";31488;Saint-Jean;Nord;oui;3;RC;voie verte;22;0;0;
43.64110984130394, 1.4328413803070412;"{""coordinates"": [[[1.433464635066857, 43.642376007566824], [1.432612861175423, 43.641408231715005], [1.43232802642375, 43.64108028694175], [1.432310149026711, 43.640783739131486], [1.432442840464212, 43.640581825567295], [1.432919426762615, 43.64039383317746], [1.433306304553297, 43.640223143187995], [1.433475095028433, 43.64002865996458]]], ""type"": ""MultiLineString""}";31555;Toulouse;Nord;non;1 V;RC;;334;0;0;REV 14 V
43.59909271188621, 1.359594141400545;"{""coordinates"": [[[1.361611487675755, 43.59815865343139], [1.361464118060958, 43.59824994223661], [1.361405753699026, 43.59830883404079], [1.361374255273739, 43.59836919061109], [1.361372623694941, 43.59837459600894], [1.361356379159851, 43.598423226067844], [1.36132949639027, 43.59847822133448], [1.361325521599048, 43.59851508077938], [1.361334688567223, 43.598550603314166], [1.361335926763652, 43.59857277430833], [1.361314442057068, 43.59859418562107], [1.361128355277755, 43.598680582253095], [1.36109272684462, 43.598688507033415], [1.361056788260294, 43.59867522463275], [1.36102746243379, 43.598654178578016], [1.360980260367111, 43.59863179331408], [1.3609519957536, 43.59862704967633], [1.360880487096033, 43.59861952136149], [1.36081669517097, 43.598602329288056], [1.360748474652942, 43.59858398866369], [1.360701376391742, 43.59858173082671], [1.360545797779515, 43.59862020300142], [1.360465918766526, 43.598646214386214], [1.360392066454041, 43.59867013979791], [1.358298227003871, 43.59958505289375], [1.358060837547781, 43.599690258676475], [1.357962178905135, 43.59974749065779], [1.357866300001021, 43.5998123619923], [1.357832659730362, 43.59984119991646], [1.357809061846857, 43.59988538219857], [1.357800427028823, 43.59992868956325], [1.357800803432004, 43.599969955345514], [1.357810754988411, 43.5999960456519], [1.35784620748882, 43.60005963553344], [1.357846058345398, 43.60008866479897], [1.35766470593107, 43.6002202043155]]], ""type"": ""MultiLineString""}";31149;Colomiers;Ouest;oui;2;RC;piste cyclable;433;2013;0;
43.60047266780966, 1.3529550154228804;"{""coordinates"": [[[1.352981388011407, 43.59911691163966], [1.352928642834354, 43.60182842397966]]], ""type"": ""MultiLineString""}";31149;Colomiers;Ouest;oui;3;RC;voie verte;302;2010;0;
43.55098812984871, 1.5140715562467781;"{""coordinates"": [[[1.514504100357552, 43.55035031678877], [1.514150721603648, 43.55065809418258], [1.513991468202302, 43.55079223144051], [1.513956962604635, 43.55090154269747], [1.513971560160657, 43.55104688852419], [1.513953950777399, 43.55121161437177], [1.513921446910299, 43.551428931313474], [1.513949624074779, 43.55176249714849]]], ""type"": ""MultiLineString""}";31506;Saint-Orens de Gameville;Est;non;1 V;RC;;173;0;0;REV 3 V
43.56419664654655, 1.489319675998749;"{""coordinates"": [[[1.487654637948761, 43.564301846581635], [1.487828360572548, 43.56436565935626], [1.487990644713036, 43.564402948745744], [1.488294100398166, 43.5643541734876], [1.488909854111565, 43.56421840949717], [1.48917249365533, 43.56418353965313], [1.489478220500468, 43.56408539131081], [1.489697532262213, 43.564060400081814], [1.490718100347462, 43.56410275888954], [1.490818765521297, 43.564163271965455], [1.490969424217561, 43.56425374980225]]], ""type"": ""MultiLineString""}";31555;Toulouse;Est;oui;1;RC;piste cyclable;281;2013;0;REV 11 Est
43.571987782834675, 1.477020761411545;"{""coordinates"": [[[1.47571899147936, 43.57237250433963], [1.475759620718382, 43.57234007182918], [1.475809014009152, 43.57231070410934], [1.475858942619376, 43.572289652635114], [1.475910238157056, 43.57227237136732], [1.475950332337838, 43.572261373620464], [1.475984328412616, 43.5722580698807], [1.476064538205446, 43.57226448974214], [1.476247078822241, 43.572276546167856], [1.476347218752475, 43.57228215560394], [1.476436520332671, 43.572278508008], [1.476502335976308, 43.57227079844733], [1.476574947413926, 43.572256210612345], [1.476650757715213, 43.57223201435208], [1.476728836981411, 43.57220570539054], [1.47678639053427, 43.57217430048183], [1.476840389162699, 43.572137486855816], [1.476892913786673, 43.57210119031478], [1.47694785535768, 43.57205634993911], [1.476993866676194, 43.572014607467], [1.477036188446294, 43.571973351082256], [1.477074782501683, 43.57193311862847], [1.477111902573738, 43.57189340327478], [1.477147576410687, 43.57185259576151], [1.477177172363048, 43.571818677772804], [1.47720311884046, 43.57178364038957], [1.477229065332985, 43.57174860120018], [1.477253526486663, 43.57171354242761], [1.477285297779364, 43.57168126270989], [1.477323556495034, 43.57165496324975], [1.477369775521294, 43.57163466525315], [1.477434211928126, 43.57162264825585], [1.477499296418441, 43.57161493030124], [1.477549560084524, 43.57160969611506], [1.477592258770738, 43.571612401351594], [1.477645750091565, 43.57162570415943], [1.477691100754677, 43.57164023923131], [1.477753965322141, 43.571661974698195], [1.477802858583694, 43.57168191822403], [1.477869037816262, 43.57171870607768], [1.478271149219617, 43.57196597111564]]], ""type"": ""MultiLineString""}";31555;Toulouse;Est;oui;2;RC;piste cyclable;256;0;0;
